nr,0
0,False
1,False
2,False
3,False
4,False
5,True
6,False
7,False
8,False
9,False
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,False
18,False
19,False
20,False
21,False
22,False
23,False
24,False
25,False
26,False
27,False
28,False
29,False
30,False
31,True
32,False
33,False
34,False
35,False
36,False
37,True
38,False
39,False
40,False
41,False
42,False
43,False
44,False
45,False
46,False
47,False
48,False
49,False
50,False
51,False
52,False
53,False
54,False
55,False
56,False
57,False
58,False
59,False
60,False
61,False
62,False
63,True
64,False
65,False
66,True
67,True
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,True
82,False
83,False
84,True
85,False
86,False
87,True
88,True
89,False
90,False
91,True
92,False
93,True
94,True
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,True
104,False
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,False
113,False
114,False
115,True
116,True
117,False
118,False
119,False
120,False
121,False
122,False
123,False
124,True
125,False
126,False
127,True
128,False
129,False
130,False
131,True
132,False
133,True
134,False
135,True
136,False
137,True
138,True
139,False
140,False
141,True
142,False
143,True
144,False
145,True
146,False
147,False
148,False
149,False
150,False
151,False
152,False
153,False
154,False
155,False
156,False
157,False
158,True
159,False
160,False
161,True
162,False
163,False
164,True
165,False
166,False
167,False
168,True
169,False
170,False
171,True
172,False
173,False
174,True
175,False
176,False
177,False
178,False
179,False
180,False
181,False
182,False
183,True
184,False
185,False
186,False
187,False
188,False
189,False
190,False
191,False
192,False
193,False
194,True
195,False
196,False
197,False
198,False
199,True
200,False
201,False
202,False
203,False
204,False
205,False
206,False
207,False
208,False
209,True
210,False
211,True
212,False
213,False
214,False
215,False
216,False
217,True
218,False
219,False
220,False
221,False
222,False
223,False
224,False
225,False
226,True
227,False
228,True
229,False
230,False
231,False
232,False
233,False
234,False
235,False
236,False
237,True
238,False
239,False
240,True
241,False
242,False
243,False
244,False
245,False
246,False
247,False
248,True
249,True
250,False
251,False
252,False
253,False
254,False
255,False
256,False
257,False
258,True
